,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
1526,1,USA hyper equipped,1,1,1,128,C,27,Gas,Yes,1500.0,90,No,Apartment ,70,Yes,As new,Yes,1590.0
1528,1,Hyper equipped,1,1,1,144,C,39,Gas,Yes,1000.0,30,No,Apartment ,85,Unknown,Good,No,1030.0
1530,4,Hyper equipped,1,1,2,170,D,42,Gas,Yes,1500.0,200,No,Apartment ,70,Yes,As new,Yes,1700.0
1532,0,USA hyper equipped,3,2,3,267,E,53,Gas,Yes,1990.0,0,No,Others,180,No,Good,No,1990.0
1533,0,Installed,1,1,1,210,D,42,Gas,Yes,650.0,45,No,Others,35,No,As new,Unknown,695.0
1534,3,Hyper equipped,4,2,2,227,Not specified,46,Gas,No,1950.0,320,No,Apartment ,140,No,As new,Unknown,2270.0
1535,0,Others,5,1,2,36,Others,36,Gas,Yes,1425.0,50,No,Others,150,Unknown,Just renovated,Unknown,1475.0
1537,2,Others,2,1,1,277,Not specified,56,Gas,Yes,980.0,25,No,Apartment ,88,No,As new,Unknown,1005.0
1538,2,Hyper equipped,2,1,1,136,C,25,Gas,No,1350.0,150,No,Apartment ,139,No,As new,Yes,1500.0
1539,2,Hyper equipped,2,1,1,60,B,16,Gas,Yes,1500.0,115,No,Apartment ,100,No,As new,Unknown,1615.0
1540,0,Hyper equipped,1,1,1,81,B,20,Gas,Yes,1060.0,0,No,Apartment ,86,No,As new,Unknown,1060.0
1541,2,Hyper equipped,2,1,1,68,B,18,Gas,Yes,1200.0,115,No,Apartment ,75,No,As new,Unknown,1315.0
1542,2,Hyper equipped,3,1,2,325,F,65,Gas,Yes,1300.0,60,No,Duplex ,100,No,As new,Unknown,1360.0
1545,1,Installed,1,1,1,197,Not specified,44,Gas,No,790.0,120,No,Apartment ,60,No,As new,Unknown,910.0
1547,1,Installed,3,2,2,157,D,33,Others,Yes,1900.0,350,No,Apartment ,145,No,As new,Yes,2250.0
1548,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Others,50,No,As new,Unknown,850.0
1550,1,Others,1,1,1,226,E,46,Gas,Yes,1200.0,150,No,Apartment ,77,No,Good,Yes,1350.0
1551,6,Installed,2,1,1,169,D,33,Gas,Yes,875.0,75,No,Apartment ,98,No,Others,Yes,950.0
1552,1,Hyper equipped,3,2,1,186,D,36,Gas,Yes,2000.0,250,No,Apartment ,160,No,Just renovated,Yes,2250.0
1553,1,Hyper equipped,1,1,1,214,Not specified,49,Gas,Yes,1400.0,0,No,Apartment ,115,No,As new,Unknown,1400.0
1554,0,USA installed,5,1,3,425,Others,90,Gas,Yes,2650.0,0,No,Others,200,Unknown,As new,Unknown,2650.0
1555,0,USA hyper equipped,3,2,3,148,C,32,Gas,Yes,2250.0,0,No,Others,185,No,As new,No,2250.0
1556,1,USA installed,1,1,1,252,E,50,Gas,Yes,1700.0,0,No,Apartment ,75,Unknown,Good,No,1700.0
1559,0,Hyper equipped,1,1,1,234,Not specified,49,Others,Yes,1150.0,150,No,Apartment ,60,Yes,Good,Yes,1300.0
1561,1,Hyper equipped,3,2,2,78,B,15,Gas,Yes,1595.0,215,No,Apartment ,113,No,As new,Yes,1810.0
1562,4,USA hyper equipped,3,2,2,84,B,17,Gas,Yes,1775.0,230,No,Others,120,No,As new,Yes,2005.0
1563,5,Hyper equipped,2,2,2,188,D,40,Gas,Yes,1300.0,250,No,Others,92,No,As new,Yes,1550.0
1567,2,Hyper equipped,1,1,1,172,D,49,Others,Yes,1150.0,0,No,Apartment ,100,No,As new,Yes,1150.0
1568,3,USA hyper equipped,2,1,1,255,E,77,Others,Yes,1100.0,200,No,Apartment ,105,No,As new,Yes,1300.0
1569,3,Hyper equipped,2,1,1,113,C,23,Gas,Yes,1250.0,150,No,Apartment ,102,No,As new,Yes,1400.0
1571,2,Hyper equipped,3,1,1,102,C,20,Gas,Yes,1450.0,0,No,Duplex ,110,No,Just renovated,No,1450.0
1572,5,Hyper equipped,1,1,1,128,C,39,Gas,Yes,875.0,175,No,Apartment ,85,No,Good,Unknown,1050.0
1574,0,USA hyper equipped,3,1,2,188,Not specified,14,Gas,Yes,1690.0,150,No,Others,140,No,As new,Yes,1840.0
1575,3,Hyper equipped,4,2,2,236,E,46,Gas,Yes,1950.0,320,No,Others,157,Unknown,As new,Yes,2270.0
1577,3,USA hyper equipped,1,1,1,272,E,54,Gas,Yes,1600.0,300,No,Apartment ,125,Yes,As new,Yes,1900.0
1578,4,USA installed,2,1,1,45,Others,11,Gas,Yes,1500.0,225,No,Apartment ,90,No,Good,Yes,1725.0
1581,2,Hyper equipped,3,1,1,365,Others,73,Gas,Yes,1350.0,25,No,Duplex ,100,No,As new,Unknown,1375.0
1582,3,USA hyper equipped,2,1,1,163,D,35,Gas,Yes,1150.0,80,No,Apartment ,110,No,Good,Unknown,1230.0
1584,2,Hyper equipped,2,1,1,113,C,24,Gas,Yes,1150.0,114,No,Duplex ,70,No,As new,Unknown,1264.0
1585,1,Hyper equipped,3,1,1,296,F,85,Gas,Yes,950.0,150,No,Others,80,No,Others,Unknown,1100.0
1586,1,Hyper equipped,1,1,1,181,D,39,Gas,Yes,895.0,60,No,Apartment ,60,Yes,As new,Unknown,955.0
1587,2,Hyper equipped,2,1,1,113,C,24,Gas,Yes,1150.0,114,No,Apartment ,70,No,As new,Unknown,1264.0
1588,1,Hyper equipped,3,1,1,296,F,85,Gas,Yes,950.0,150,No,Apartment ,80,No,Others,Unknown,1100.0
1589,0,Hyper equipped,3,1,1,422,Others,52,Gas,Yes,1600.0,0,No,Others,120,No,As new,Unknown,1600.0
1590,5,Hyper equipped,1,1,1,365,Not specified,79,Gas,Yes,800.0,250,No,Apartment ,53,No,As new,Yes,1050.0
1592,1,Hyper equipped,1,1,1,205,D,41,Gas,Yes,725.0,150,No,Apartment ,45,No,As new,Unknown,875.0
1593,3,Hyper equipped,1,1,1,139,C,28,Gas,Yes,950.0,210,No,Apartment ,80,No,As new,Yes,1160.0
1594,3,Hyper equipped,1,1,1,139,C,28,Gas,Yes,950.0,210,No,Duplex ,80,No,As new,Yes,1160.0
1595,3,Others,3,1,1,56,B,12,Gas,Yes,1400.0,140,No,Apartment ,108,No,As new,Yes,1540.0
1596,0,Others,3,2,2,247,Not specified,63,Gas,Yes,1250.0,50,No,Duplex ,140,Unknown,As new,Unknown,1300.0
1597,3,Installed,2,1,1,204,D,50,Gas,Yes,900.0,150,No,Apartment ,82,Unknown,Just renovated,Unknown,1050.0
1598,3,Installed,2,1,1,204,D,79,Gas,Yes,800.0,150,No,Apartment ,82,Unknown,Just renovated,No,950.0
1599,1,Hyper equipped,3,2,1,132,C,26,Gas,Yes,1390.0,220,No,Apartment ,100,No,As new,Yes,1610.0
1600,5,Installed,1,1,1,245,E,39,Others,Yes,1000.0,100,No,Apartment ,45,No,As new,Yes,1100.0
1602,0,Hyper equipped,2,2,2,275,E,59,Gas,Yes,2050.0,200,No,Apartment ,150,No,Just renovated,Yes,2250.0
1605,3,Others,2,1,1,277,Not specified,56,Gas,Yes,980.0,40,No,Apartment ,82,No,Just renovated,Unknown,1020.0
1606,2,Installed,1,1,1,263,Not specified,50,Gas,No,900.0,150,No,Apartment ,65,No,As new,Unknown,1050.0
1607,3,Others,1,1,1,128,C,53,Gas,Yes,950.0,200,No,Apartment ,70,No,Good,Yes,1150.0
1608,4,Others,2,1,1,233,Not specified,58,Gas,Yes,1100.0,90,No,Apartment ,102,Unknown,As new,Yes,1190.0
1610,2,Installed,2,1,2,201,D,40,Gas,Yes,1375.0,0,No,Apartment ,102,Unknown,As new,Unknown,1375.0
1611,0,Installed,1,1,1,203,Not specified,39,Gas,Yes,1000.0,50,No,Others,60,Yes,As new,Unknown,1050.0
1613,1,Installed,1,1,1,369,Not specified,69,Gas,No,1700.0,100,No,Apartment ,170,No,As new,Unknown,1800.0
1614,0,Hyper equipped,2,2,1,341,F,42,Others,Yes,1500.0,350,No,Apartment ,125,Yes,Good,Yes,1850.0
1615,0,Hyper equipped,3,2,2,78,Not specified,12,Gas,Yes,1875.0,109,No,Apartment ,141,Yes,As new,Yes,1984.0
1616,1,Hyper equipped,1,1,1,138,C,53,Gas,Yes,1350.0,300,No,Apartment ,105,Yes,As new,Unknown,1650.0
1618,1,Installed,2,1,1,299,F,64,Gas,Yes,1300.0,0,No,Apartment ,100,No,Just renovated,Yes,1300.0
1620,0,Installed,2,1,1,277,F,38,Gas,Yes,1380.0,0,No,Apartment ,120,No,Just renovated,Unknown,1380.0
1621,1,Hyper equipped,2,1,1,200,D,80,Gas,Yes,1690.0,55,No,Apartment ,130,No,Just renovated,No,1745.0
1624,3,Hyper equipped,1,1,1,390,Not specified,32,Gas,No,820.0,75,No,Apartment ,60,Unknown,As new,Unknown,895.0
1625,2,Hyper equipped,2,1,1,263,Not specified,50,Gas,No,900.0,95,No,Apartment ,70,Unknown,As new,No,995.0
1626,3,Installed,2,1,1,151,C,32,Gas,Yes,1200.0,100,No,Apartment ,85,No,As new,Yes,1300.0
1627,2,Hyper equipped,1,1,1,327,F,85,Gas,No,990.0,290,No,Apartment ,71,No,As new,Yes,1280.0
1628,2,Installed,2,1,1,242,E,46,Gas,No,1190.0,200,No,Apartment ,98,No,Good,Yes,1390.0
1630,1,Hyper equipped,1,1,1,300,F,59,Gas,Yes,750.0,45,No,Apartment ,69,No,As new,Unknown,795.0
1631,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100.0,150,No,Apartment ,81,No,As new,No,1250.0
1635,2,Hyper equipped,3,1,1,141,Not specified,27,Gas,No,1670.0,150,No,Duplex ,150,Unknown,As new,No,1820.0
1637,4,Installed,1,1,1,344,F,90,Gas,Yes,785.0,125,No,Apartment ,55,No,Good,Yes,910.0
1638,5,USA installed,2,1,1,347,Others,91,Gas,Yes,765.0,125,No,Others,40,No,As new,Yes,890.0
1639,1,Installed,1,1,1,211,D,42,Gas,Yes,1400.0,225,No,Apartment ,80,Yes,Good,No,1625.0
1640,2,Hyper equipped,3,2,2,162,D,34,Gas,Yes,2250.0,0,No,Apartment ,114,No,Good,Unknown,2250.0
1641,1,Hyper equipped,2,1,2,141,C,49,Gas,Yes,1400.0,200,No,Duplex ,140,Yes,As new,Yes,1600.0
1643,3,USA hyper equipped,2,1,2,227,Not specified,52,Gas,Yes,1600.0,75,No,Apartment ,113,Unknown,As new,Yes,1675.0
1644,0,USA installed,4,2,2,369,Not specified,48,Gas,Yes,1700.0,0,No,Others,155,Unknown,As new,No,1700.0
1645,2,USA installed,2,1,1,44,Others,47,Gas,No,1300.0,0,No,Apartment ,90,No,As new,Yes,1300.0
1646,2,Others,1,1,1,270,Not specified,66,Gas,Yes,720.0,230,No,Apartment ,50,Unknown,As new,Yes,950.0
1647,3,Hyper equipped,2,1,2,193,Not specified,18,Gas,Yes,1825.0,150,No,Apartment ,147,Unknown,As new,Yes,1975.0
1648,1,USA installed,3,2,2,44,Others,11,Gas,Yes,1590.0,210,No,Duplex ,100,No,As new,Yes,1800.0
1649,1,Installed,2,1,2,390,Not specified,32,Gas,No,820.0,30,No,Apartment ,70,Unknown,As new,Unknown,850.0
1650,3,Hyper equipped,3,1,1,221,E,63,Gas,Yes,1400.0,300,No,Apartment ,125,No,Good,Yes,1700.0
1651,3,Hyper equipped,2,1,2,227,Not specified,52,Gas,No,1600.0,100,No,Apartment ,120,Yes,As new,Unknown,1700.0
1652,1,Hyper equipped,2,2,2,287,F,57,Gas,Yes,1750.0,120,No,Apartment ,151,No,As new,Yes,1870.0
1653,1,Hyper equipped,2,2,2,287,F,57,Gas,Yes,1750.0,120,No,Apartment ,151,No,As new,Yes,1870.0
1654,3,Hyper equipped,2,1,1,272,Not specified,58,Gas,No,850.0,0,No,Apartment ,82,Unknown,Just renovated,No,850.0
1655,4,USA hyper equipped,3,1,2,121,Not specified,32,Gas,Yes,2490.0,190,No,Duplex ,167,Yes,As new,Yes,2680.0
1657,2,USA installed,1,1,1,270,E,54,Gas,Yes,750.0,40,No,Apartment ,58,Unknown,Others,No,790.0
1658,2,Others,1,1,1,357,Not specified,85,Gas,Yes,700.0,0,No,Apartment ,55,Unknown,Just renovated,No,700.0
1659,2,USA hyper equipped,3,2,3,97,C,17,Gas,Yes,2600.0,150,No,Apartment ,149,No,As new,Yes,2750.0
1660,2,USA installed,1,1,1,277,Not specified,56,Gas,Yes,980.0,250,No,Apartment ,80,Unknown,Good,No,1230.0
1661,2,Hyper equipped,3,2,2,97,C,17,Gas,Yes,2600.0,150,No,Apartment ,150,Unknown,As new,Yes,2750.0
1662,1,Installed,3,2,1,116,C,24,Gas,Yes,1550.0,70,No,Duplex ,123,Yes,As new,No,1620.0
1663,4,Hyper equipped,2,1,1,147,C,29,Gas,Yes,1250.0,100,No,Apartment ,92,Unknown,As new,Yes,1350.0
1664,4,Hyper equipped,1,1,1,158,D,31,Gas,No,750.0,120,No,Apartment ,90,Unknown,Good,Yes,870.0
1665,0,Installed,1,1,2,240,E,48,Gas,Yes,900.0,40,No,Others,102,Unknown,As new,Unknown,940.0
1666,1,Others,1,1,1,318,F,68,Gas,Yes,900.0,0,No,Apartment ,60,No,As new,Unknown,900.0
1668,2,Others,2,1,1,204,D,38,Gas,Yes,1150.0,100,No,Apartment ,75,No,Good,No,1250.0
1670,0,USA hyper equipped,2,1,1,211,D,45,Gas,Yes,1350.0,100,No,Apartment ,110,Unknown,As new,Yes,1450.0
1672,5,Hyper equipped,3,1,1,184,D,40,Gas,Yes,1300.0,350,No,Apartment ,163,No,As new,Yes,1650.0
1674,1,Hyper equipped,3,2,2,217,Not specified,46,Gas,Yes,1200.0,25,No,Duplex ,130,No,As new,No,1225.0
1675,2,USA hyper equipped,3,2,2,92,B,18,Gas,Yes,1575.0,130,No,Apartment ,116,No,As new,Yes,1705.0
1676,1,USA hyper equipped,2,1,2,71,B,17,Gas,Yes,1625.0,150,No,Apartment ,100,No,As new,Yes,1775.0
1677,4,USA hyper equipped,3,2,3,148,C,32,Gas,Yes,2490.0,190,No,Duplex ,167,Yes,As new,Yes,2680.0
1678,0,USA hyper equipped,3,2,2,116,C,18,Gas,Yes,2490.0,190,No,Duplex ,167,Yes,As new,Yes,2680.0
1679,3,USA hyper equipped,4,2,2,200,Not specified,55,Gas,Yes,1800.0,150,No,Duplex ,120,No,As new,Yes,1950.0
1682,1,Hyper equipped,2,1,1,153,D,32,Gas,Yes,1300.0,80,No,Apartment ,110,No,Good,Yes,1380.0
1683,3,USA installed,2,1,1,444,Others,89,Gas,Yes,1750.0,0,No,Duplex ,95,No,As new,No,1750.0
1686,2,USA hyper equipped,3,2,3,97,C,17,Gas,Yes,2550.0,150,No,Apartment ,150,No,As new,Yes,2700.0
1687,1,Installed,3,2,2,50,B,50,Gas,Yes,1590.0,210,No,Duplex ,100,No,As new,Yes,1800.0
1689,0,Hyper equipped,3,1,1,244,E,52,Gas,Yes,2500.0,100,No,Others,140,No,As new,No,2600.0
1697,2,Others,3,1,1,161,D,42,Gas,Yes,1500.0,50,No,Apartment ,131,No,Just renovated,Unknown,1550.0
1698,2,Others,3,1,1,161,D,42,Gas,Yes,1500.0,50,No,Duplex ,131,No,Just renovated,Unknown,1550.0
1699,1,Hyper equipped,2,1,2,114,Not specified,22,Gas,Yes,1280.0,140,No,Apartment ,110,No,As new,Yes,1420.0
1701,4,Hyper equipped,2,2,2,291,F,38,Gas,Yes,1750.0,250,No,Apartment ,131,No,As new,Yes,2000.0
1702,3,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,100,No,Apartment ,65,Yes,Good,Yes,1000.0
1703,6,USA hyper equipped,1,1,1,359,Others,72,Gas,Yes,1120.0,180,No,Others,70,No,Just renovated,Yes,1300.0
1704,0,USA hyper equipped,3,3,2,148,C,32,Gas,Yes,2490.0,190,No,Apartment ,167,Yes,As new,Yes,2680.0
1705,4,Hyper equipped,1,1,1,255,E,51,Gas,Yes,1150.0,90,No,Duplex ,90,Yes,Good,Yes,1240.0
1706,3,Installed,1,1,1,234,E,46,Gas,No,1000.0,100,No,Apartment ,59,Yes,As new,Unknown,1100.0
1707,1,Others,1,1,1,365,Not specified,79,Gas,Yes,800.0,50,No,Apartment ,57,No,As new,Unknown,850.0
1710,1,Others,2,1,1,255,Not specified,53,Gas,No,1350.0,150,No,Apartment ,125,Unknown,As new,No,1500.0
1711,2,USA hyper equipped,2,1,1,63,B,13,Gas,Yes,1275.0,125,No,Apartment ,94,No,Just renovated,Yes,1400.0
1712,0,Hyper equipped,2,1,2,214,E,46,Gas,Yes,2300.0,125,No,Others,160,Unknown,Just renovated,Yes,2425.0
1713,4,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,130,No,Others,85,No,As new,Yes,1330.0
1714,4,Hyper equipped,1,1,1,67,B,19,Gas,Yes,700.0,100,No,Others,45,No,As new,Yes,800.0
1716,2,Hyper equipped,2,1,1,287,F,57,Gas,Yes,1150.0,150,No,Apartment ,90,No,Good,Yes,1300.0
1717,0,Hyper equipped,3,2,2,159,Not specified,42,Gas,Yes,1500.0,0,No,Others,160,No,As new,No,1500.0
1718,0,USA hyper equipped,2,1,1,145,C,31,Gas,Yes,1550.0,30,No,Others,115,No,As new,No,1580.0
1719,4,USA hyper equipped,3,2,2,89,B,19,Gas,Yes,2490.0,190,No,Duplex ,169,Yes,As new,Yes,2680.0
1720,4,USA hyper equipped,2,1,1,204,D,52,Gas,Yes,1375.0,250,No,Apartment ,100,No,Just renovated,Yes,1625.0
1722,0,USA hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300.0,1,No,Others,100,No,As new,No,1301.0
1723,6,Hyper equipped,2,1,1,251,E,53,Gas,Yes,1450.0,0,No,Apartment ,105,Yes,As new,Yes,1450.0
1725,2,Installed,3,1,2,161,D,34,Gas,Yes,2500.0,0,No,Apartment ,160,Yes,As new,Yes,2500.0
1727,4,USA hyper equipped,3,1,1,121,Not specified,65,Gas,Yes,2490.0,190,No,Apartment ,168,Yes,As new,Yes,2680.0
1728,1,Installed,2,1,2,405,Others,81,Gas,Yes,1290.0,50,No,Duplex ,120,No,As new,Unknown,1340.0
1729,0,Installed,3,1,2,365,Others,78,Gas,Yes,1650.0,0,No,Others,120,No,Good,No,1650.0
1731,3,USA hyper equipped,2,1,1,141,C,38,Gas,Yes,1450.0,200,No,Apartment ,93,No,Just renovated,Yes,1650.0
1733,4,USA hyper equipped,3,1,2,121,Not specified,27,Gas,Yes,2490.0,190,No,Duplex ,167,Yes,Just renovated,Yes,2680.0
1736,3,Hyper equipped,2,1,1,186,D,46,Others,Yes,1150.0,250,No,Apartment ,96,No,Good,Yes,1400.0
1740,3,USA hyper equipped,1,1,1,86,B,16,Gas,Yes,1045.0,156,No,Apartment ,67,No,As new,Yes,1201.0
1741,1,USA installed,1,1,1,223,E,44,Gas,Yes,875.0,75,No,Apartment ,80,Unknown,Good,Unknown,950.0
1742,0,USA hyper equipped,2,1,1,161,D,32,Gas,Yes,1990.0,270,No,Others,120,Yes,Just renovated,No,2260.0
1743,0,Hyper equipped,2,1,1,164,D,32,Gas,Yes,1300.0,200,No,Apartment ,90,No,As new,Yes,1500.0
1745,3,USA hyper equipped,1,1,1,149,C,31,Gas,Yes,950.0,225,No,Others,40,Yes,As new,Yes,1175.0
1746,3,Hyper equipped,1,1,1,221,E,65,Gas,Yes,850.0,250,No,Apartment ,95,Yes,Good,Yes,1100.0
1748,3,Installed,2,2,1,74,Not specified,92,Gas,Yes,1125.0,100,No,Apartment ,80,Unknown,As new,Yes,1225.0
1751,5,Hyper equipped,1,1,1,233,Not specified,58,Gas,No,1100.0,100,No,Apartment ,45,Yes,As new,Yes,1200.0
1752,2,Hyper equipped,1,1,1,50,B,44,Gas,Yes,790.0,65,No,Others,40,No,As new,Yes,855.0
1753,4,Installed,2,1,1,234,E,46,Gas,Yes,1200.0,200,No,Apartment ,100,No,As new,Yes,1400.0
1754,2,Hyper equipped,3,2,3,159,D,34,Gas,Yes,2375.0,150,No,Apartment ,160,Unknown,As new,Yes,2525.0
1755,0,Installed,2,2,3,159,Not specified,42,Gas,Yes,1500.0,40,No,Duplex ,95,Unknown,As new,No,1540.0
1757,2,Hyper equipped,2,1,1,259,E,74,Gas,Yes,1250.0,360,No,Apartment ,90,No,As new,Yes,1610.0
1760,3,Others,1,1,1,236,Not specified,47,Gas,Yes,620.0,0,No,Apartment ,62,No,As new,No,620.0
1761,1,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825.0,0,No,Apartment ,65,Unknown,As new,No,825.0
1763,2,Hyper equipped,1,1,1,182,Not specified,40,Gas,No,925.0,100,No,Apartment ,60,No,As new,Unknown,1025.0
1764,1,Hyper equipped,3,1,1,151,C,32,Gas,Yes,1450.0,50,No,Apartment ,110,No,Good,Yes,1500.0
1765,3,Hyper equipped,1,1,1,129,C,25,Gas,Yes,750.0,75,No,Apartment ,47,No,As new,Yes,825.0
1767,4,Hyper equipped,2,2,1,227,Not specified,55,Gas,Yes,1950.0,150,No,Others,150,Yes,As new,Yes,2100.0
1769,0,USA hyper equipped,3,1,3,195,Not specified,40,Gas,No,1750.0,0,No,Others,138,Unknown,Just renovated,No,1750.0
1770,4,USA hyper equipped,2,1,1,123,C,24,Gas,Yes,1350.0,250,No,Apartment ,75,No,Just renovated,Yes,1600.0
1771,6,Hyper equipped,1,1,1,214,Not specified,49,Others,Yes,1400.0,100,No,Apartment ,70,Yes,As new,Yes,1500.0
1772,5,Hyper equipped,2,1,1,189,D,48,Gas,Yes,1700.0,0,No,Apartment ,110,No,As new,Yes,1700.0
1773,0,Installed,3,1,2,190,D,40,Gas,Yes,1650.0,0,No,Others,128,No,As new,No,1650.0
1774,1,USA hyper equipped,3,2,1,223,E,47,Gas,Yes,1950.0,0,No,Others,167,No,As new,No,1950.0
1775,2,Hyper equipped,2,1,2,224,E,66,Gas,Yes,1800.0,350,No,Apartment ,156,No,Just renovated,Yes,2150.0
1776,2,Hyper equipped,2,1,2,224,E,66,Gas,Yes,1800.0,350,No,Apartment ,156,No,Just renovated,Yes,2150.0
1777,5,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250.0,250,No,Apartment ,95,No,As new,Yes,1500.0
1778,5,USA installed,2,2,2,90,B,17,Gas,Yes,1250.0,0,No,Others,92,No,As new,Yes,1250.0
1779,1,USA hyper equipped,3,2,1,227,Not specified,55,Gas,Yes,1950.0,0,No,Others,172,No,As new,No,1950.0
1780,1,USA hyper equipped,3,1,3,113,C,22,Gas,Yes,2050.0,150,No,Apartment ,162,No,As new,Yes,2200.0
1781,1,Installed,1,1,1,85,B,16,Gas,Yes,895.0,65,No,Apartment ,73,No,Good,Unknown,960.0
1782,4,Hyper equipped,3,1,2,301,F,78,Others,Yes,1300.0,200,No,Apartment ,130,No,Good,Yes,1500.0
1783,3,Hyper equipped,3,3,2,178,D,35,Gas,Yes,2100.0,250,No,Others,200,No,Good,Yes,2350.0
1785,1,Installed,3,1,1,255,Not specified,53,Gas,Yes,1350.0,15,No,Apartment ,130,No,Good,No,1365.0
1786,3,USA hyper equipped,2,1,1,247,E,50,Gas,Yes,1300.0,100,No,Apartment ,78,No,As new,No,1400.0
1787,4,Installed,2,2,3,220,Not specified,47,Others,Yes,1300.0,150,No,Others,95,No,Just renovated,Yes,1450.0
1788,0,Others,1,1,1,272,Not specified,89,Others,Yes,850.0,40,No,Apartment ,65,No,Good,Unknown,890.0
1789,1,Hyper equipped,1,1,1,294,F,84,Gas,Yes,840.0,0,No,Apartment ,43,No,As new,Unknown,840.0
1790,2,Others,2,1,1,120,C,24,Gas,Yes,1250.0,250,No,Apartment ,91,No,As new,Yes,1500.0
1791,6,Installed,3,1,1,301,F,78,Gas,Yes,1700.0,300,No,Apartment ,185,No,Good,Unknown,2000.0
1792,0,Hyper equipped,2,1,1,298,F,62,Gas,Yes,635.0,165,No,Others,51,Unknown,As new,Yes,800.0
1793,1,Hyper equipped,2,1,1,226,Not specified,46,Gas,No,1275.0,150,No,Apartment ,100,Unknown,As new,Yes,1425.0
1794,3,Hyper equipped,3,3,3,199,D,43,Gas,Yes,2550.0,150,No,Others,200,Unknown,As new,Yes,2700.0
1795,3,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200.0,220,No,Apartment ,110,No,Just renovated,Yes,1420.0
1796,6,Installed,2,1,1,285,F,57,Gas,Yes,1150.0,250,No,Apartment ,70,No,Good,Yes,1400.0
1797,2,Installed,1,1,1,250,E,54,Gas,Yes,750.0,115,No,Others,40,Unknown,As new,Yes,865.0
1798,0,Hyper equipped,2,1,1,283,F,56,Gas,No,1300.0,0,No,Others,125,Yes,As new,No,1300.0
1799,1,Hyper equipped,2,2,1,209,D,45,Gas,Yes,1700.0,50,No,Duplex ,100,No,Good,No,1750.0
1800,4,USA hyper equipped,2,1,1,271,E,54,Gas,Yes,1200.0,80,No,Apartment ,70,No,Just renovated,Yes,1280.0
1801,0,Others,2,1,3,32,Others,4,Gas,Yes,2000.0,150,No,Apartment ,124,No,As new,Yes,2150.0
1802,2,Installed,3,2,2,220,E,47,Gas,No,1850.0,100,No,Others,150,No,As new,Unknown,1950.0
1803,4,Hyper equipped,2,1,1,203,Not specified,39,Gas,Yes,1000.0,120,No,Apartment ,63,No,Just renovated,Yes,1120.0
1804,0,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900.0,120,No,Apartment ,58,No,As new,Yes,1020.0
1806,0,Installed,3,1,1,247,Not specified,63,Gas,Yes,1250.0,250,No,Apartment ,95,No,Good,Yes,1500.0
1807,2,Installed,1,1,1,192,D,40,Gas,Yes,780.0,160,No,Apartment ,64,No,As new,Yes,940.0
1810,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250.0,130,No,Apartment ,176,No,As new,Yes,2380.0
1811,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250.0,130,No,Apartment ,176,No,As new,Yes,2380.0
1812,3,Installed,2,1,1,159,Not specified,42,Gas,No,1500.0,50,No,Apartment ,100,No,As new,Unknown,1550.0
1813,1,USA hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300.0,1,No,Duplex ,100,No,As new,No,1301.0
1814,1,Hyper equipped,1,1,1,154,D,73,Gas,Yes,890.0,10,No,Apartment ,57,Unknown,Just renovated,No,900.0
1815,1,USA installed,2,1,1,206,Not specified,50,Gas,No,1050.0,50,No,Apartment ,80,Unknown,As new,Unknown,1100.0
1819,4,Hyper equipped,2,1,1,233,Not specified,58,Others,Yes,1100.0,170,No,Apartment ,120,No,Good,Yes,1270.0
1820,2,USA hyper equipped,2,1,1,120,C,24,Gas,Yes,900.0,130,No,Apartment ,99,Unknown,As new,Yes,1030.0
1821,3,USA installed,1,1,2,106,C,21,Gas,Yes,1765.0,285,No,Others,105,No,As new,Yes,2050.0
1822,0,Installed,2,2,1,253,E,65,Others,Yes,1750.0,250,No,Others,95,No,As new,Yes,2000.0
1823,1,USA hyper equipped,2,1,2,85,B,16,Gas,Yes,1550.0,100,No,Apartment ,95,No,As new,Yes,1650.0
1824,3,Hyper equipped,2,1,1,302,F,91,Gas,Yes,1050.0,200,No,Apartment ,74,No,As new,Yes,1250.0
1826,2,Others,1,1,1,217,E,41,Gas,Yes,1350.0,200,No,Apartment ,65,Yes,As new,Unknown,1550.0
1827,1,Hyper equipped,3,2,2,199,D,39,Gas,Yes,1400.0,0,No,Duplex ,120,No,As new,No,1400.0
1828,0,USA installed,1,1,1,302,F,60,Gas,Yes,790.0,0,No,Others,40,Yes,Just renovated,Yes,790.0
