,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
673,3,Installed,1,1,1,277,Not specified,61,Gas,Yes,750.0,150,No,Apartment ,50,No,As new,Yes,900.0
674,1,USA hyper equipped,1,1,2,199,Not specified,43,Gas,No,2500.0,0,No,Duplex ,180,Yes,As new,No,2500.0
675,4,Hyper equipped,1,1,1,251,Not specified,53,Gas,Yes,1075.0,120,No,Apartment ,70,No,Good,Yes,1195.0
676,0,Hyper equipped,3,1,3,185,D,37,Gas,Yes,2100.0,0,No,Others,134,Yes,Just renovated,Unknown,2100.0
677,6,Installed,1,1,1,229,E,49,Gas,Yes,750.0,150,No,Others,58,No,As new,Yes,900.0
678,4,USA installed,1,1,1,200,D,50,Gas,Yes,1050.0,350,No,Apartment ,50,Yes,Good,Unknown,1400.0
679,2,Hyper equipped,4,1,1,140,C,17,Gas,Yes,2390.0,300,No,Apartment ,161,Yes,As new,Yes,2690.0
680,2,Hyper equipped,3,1,1,185,D,47,Gas,Yes,1850.0,115,No,Apartment ,111,Yes,As new,Yes,1965.0
682,2,Installed,2,1,1,137,C,27,Gas,Yes,1050.0,150,No,Apartment ,84,Unknown,Good,Yes,1200.0
683,1,USA hyper equipped,2,1,1,139,C,27,Gas,Yes,1290.0,210,No,Apartment ,100,No,Just renovated,No,1500.0
685,1,Hyper equipped,2,1,1,255,Not specified,53,Others,Yes,1350.0,385,No,Apartment ,102,Unknown,As new,Yes,1735.0
686,3,Hyper equipped,1,1,1,282,F,83,Gas,Yes,1075.0,125,No,Others,50,No,As new,No,1200.0
687,0,USA hyper equipped,3,2,2,149,C,32,Gas,Yes,2400.0,300,No,Apartment ,147,Yes,As new,Yes,2700.0
689,0,Hyper equipped,1,1,1,234,Not specified,49,Gas,Yes,1150.0,0,No,Apartment ,70,No,As new,Unknown,1150.0
690,2,USA hyper equipped,2,1,1,220,E,51,Gas,Yes,640.0,0,No,Others,30,Unknown,Good,No,640.0
691,4,USA hyper equipped,1,1,1,90,B,75,Gas,Yes,1900.0,200,No,Apartment ,60,Yes,As new,Yes,2100.0
692,2,Others,2,1,1,217,Not specified,46,Gas,Yes,1200.0,200,No,Apartment ,111,Unknown,As new,No,1400.0
693,2,USA hyper equipped,2,2,2,220,Not specified,47,Gas,Yes,1300.0,150,No,Apartment ,96,No,As new,Yes,1450.0
694,2,USA installed,1,1,1,270,E,52,Gas,Yes,800.0,25,No,Apartment ,50,No,Just renovated,No,825.0
695,4,Hyper equipped,2,2,1,201,D,52,Gas,Yes,1690.0,0,No,Others,119,Unknown,As new,No,1690.0
696,3,USA hyper equipped,2,1,1,104,C,21,Gas,Yes,1500.0,80,No,Apartment ,100,Unknown,As new,Yes,1580.0
697,1,Others,2,1,1,195,Not specified,40,Others,No,1750.0,150,No,Duplex ,110,Yes,As new,Unknown,1900.0
698,4,Hyper equipped,1,1,1,203,Not specified,39,Gas,No,1000.0,65,No,Apartment ,65,Unknown,As new,Yes,1065.0
700,3,Hyper equipped,2,1,1,220,Not specified,47,Gas,Yes,1300.0,150,No,Apartment ,100,Unknown,As new,Yes,1450.0
701,2,Hyper equipped,1,1,1,166,D,42,Gas,Yes,910.0,125,No,Apartment ,75,Unknown,As new,Yes,1035.0
704,2,Installed,3,1,2,255,Not specified,53,Gas,Yes,1350.0,80,No,Apartment ,130,Unknown,As new,Yes,1430.0
706,2,USA installed,2,1,2,369,Not specified,48,Gas,Yes,1700.0,0,No,Duplex ,120,Unknown,Good,No,1700.0
707,3,USA installed,1,1,1,328,Not specified,84,Gas,Yes,840.0,150,No,Apartment ,60,Unknown,As new,No,990.0
708,0,Installed,2,1,1,159,Not specified,42,Gas,Yes,1500.0,30,No,Others,85,Unknown,Good,No,1530.0
710,1,USA hyper equipped,2,1,1,66,B,14,Gas,Yes,1600.0,200,No,Apartment ,94,No,As new,Yes,1800.0
712,2,Hyper equipped,2,1,1,234,Not specified,49,Gas,No,1150.0,0,No,Apartment ,89,Unknown,As new,Unknown,1150.0
715,3,Installed,2,1,2,94,B,20,Gas,Yes,1300.0,280,No,Apartment ,100,No,As new,Yes,1580.0
716,0,Installed,1,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Others,70,Unknown,As new,No,850.0
721,4,Hyper equipped,2,1,1,214,Not specified,49,Gas,Yes,1400.0,250,No,Apartment ,91,No,As new,Yes,1650.0
722,3,Hyper equipped,1,1,1,365,Not specified,79,Others,No,800.0,0,No,Apartment ,50,Unknown,As new,Unknown,800.0
723,1,Hyper equipped,3,1,2,214,Not specified,49,Others,No,1400.0,0,No,Apartment ,105,Yes,As new,Unknown,1400.0
724,3,Hyper equipped,2,1,2,114,C,24,Gas,Yes,1450.0,90,No,Apartment ,108,Unknown,As new,Yes,1540.0
725,0,Hyper equipped,3,1,2,173,Not specified,41,Gas,Yes,1900.0,0,No,Others,150,Unknown,As new,No,1900.0
727,0,USA hyper equipped,3,1,2,127,C,35,Gas,Yes,2075.0,0,No,Others,125,Unknown,Good,Unknown,2075.0
728,3,Hyper equipped,2,1,3,122,C,24,Gas,Yes,1600.0,80,No,Apartment ,110,Unknown,As new,Yes,1680.0
729,0,Others,2,1,1,227,E,56,Gas,Yes,980.0,60,No,Others,85,Unknown,Just renovated,No,1040.0
730,0,Installed,1,1,1,322,Not specified,72,Gas,Yes,740.0,60,No,Others,37,Unknown,As new,Unknown,800.0
732,2,Hyper equipped,2,1,1,206,Not specified,50,Gas,Yes,1050.0,100,No,Apartment ,98,Unknown,As new,No,1150.0
733,1,Hyper equipped,3,1,2,360,Others,72,Gas,Yes,1750.0,20,No,Duplex ,135,No,As new,Unknown,1770.0
734,1,Hyper equipped,2,1,1,219,E,41,Gas,Yes,1380.0,150,No,Apartment ,76,No,As new,No,1530.0
735,1,Others,1,1,1,314,F,68,Gas,No,750.0,50,No,Apartment ,44,Unknown,As new,Unknown,800.0
736,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Duplex ,55,No,As new,Unknown,850.0
737,2,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850.0,0,No,Apartment ,83,Unknown,Good,No,850.0
739,1,Installed,1,1,1,189,D,25,Gas,Yes,1180.0,0,No,Apartment ,61,No,As new,No,1180.0
740,2,USA hyper equipped,2,1,2,116,C,21,Gas,Yes,2000.0,5,No,Apartment ,130,No,Just renovated,No,2005.0
742,2,USA hyper equipped,1,1,1,342,F,68,Gas,Yes,1000.0,100,No,Apartment ,80,Yes,As new,No,1100.0
743,2,Hyper equipped,2,1,2,85,B,17,Gas,Yes,1400.0,200,No,Apartment ,93,No,As new,Yes,1600.0
744,2,Hyper equipped,2,1,2,85,B,17,Gas,Yes,1400.0,200,No,Apartment ,93,No,As new,Yes,1600.0
